%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82549.915,300.969,0.956,10.094,48.678,0.432,40.708,42.204,44.421,45.273,45.530,42.219,41.826,41.823,44.062,45.406,47.752,40.543,47.855,46.053,43.505,42.639,-0.016,-0.032,0.225,-0.001,535.048,336.269
82541.852,300.967,0.955,10.111,48.836,0.432,40.383,42.985,44.314,44.959,45.855,41.387,42.147,42.574,43.614,45.197,47.963,41.394,47.331,45.844,44.440,42.639,-0.026,-0.052,0.235,-0.001,535.048,336.269
82545.883,300.965,0.955,10.094,48.678,0.112,40.492,42.762,45.385,45.691,45.530,42.739,41.719,42.574,44.173,45.510,47.752,41.288,47.750,45.425,44.751,43.203,-0.026,-0.071,0.214,-0.000,535.048,336.269
82541.852,300.970,0.955,10.086,48.599,0.272,40.059,42.874,45.492,45.900,46.071,42.427,42.468,42.359,43.502,45.928,47.223,41.713,48.169,46.263,45.478,42.864,-0.026,0.006,0.204,0.000,535.048,336.269
82537.821,300.972,0.955,10.087,48.599,0.112,40.925,41.869,45.063,46.004,45.638,42.219,42.789,42.896,43.726,45.093,48.385,41.394,48.064,46.472,44.959,43.541,-0.016,-0.013,0.204,-0.001,535.048,336.269
82541.852,300.967,0.955,10.103,48.757,0.592,40.925,43.655,44.528,45.795,46.287,42.115,42.361,42.788,44.621,45.302,48.280,42.352,47.959,45.949,45.582,43.203,-0.016,-0.052,0.214,0.001,535.048,336.269
82545.883,300.969,0.955,10.094,48.678,0.432,40.492,43.544,45.813,45.795,46.179,42.531,41.291,42.788,44.173,45.615,48.597,41.820,48.483,46.263,44.855,43.428,-0.016,-0.052,0.214,0.000,535.048,336.269
82545.883,300.970,0.955,10.102,48.757,0.112,40.167,43.097,45.385,45.795,46.287,42.635,42.896,41.930,43.950,45.928,47.435,41.713,48.588,46.158,44.648,43.428,-0.026,-0.052,0.214,-0.000,535.048,336.269
82549.915,300.972,0.956,10.119,48.915,0.272,40.816,42.092,45.385,46.318,46.287,42.635,42.147,42.574,43.733,45.615,48.174,41.288,48.483,45.844,45.063,42.864,-0.005,-0.032,0.214,-0.001,535.048,336.269
82545.883,300.970,0.955,10.102,48.757,0.432,40.816,43.655,44.528,45.795,45.747,42.635,42.147,42.681,44.852,45.093,48.069,42.139,47.855,46.577,45.167,43.880,-0.016,-0.032,0.225,-0.000,535.048,336.269
82541.852,300.973,0.955,10.111,48.836,0.592,40.383,43.209,45.706,44.854,46.071,42.531,41.505,42.359,44.293,45.719,47.533,41.607,48.169,45.530,45.063,43.090,-0.005,-0.052,0.214,0.000,535.048,336.269
82537.821,300.970,0.955,10.103,48.757,0.272,40.383,43.320,45.599,46.423,46.071,42.635,42.361,42.788,44.069,45.719,48.167,41.501,48.169,46.577,44.440,43.654,-0.005,-0.052,0.214,0.001,535.048,336.269
82541.852,300.972,0.955,10.095,48.678,0.272,40.925,42.427,45.385,46.004,46.504,42.947,41.826,43.110,43.174,45.197,48.061,41.501,47.855,46.681,45.167,42.864,-0.016,-0.032,0.214,-0.000,535.048,336.269
82537.821,300.970,0.955,10.103,48.757,0.112,40.492,43.432,45.278,45.900,46.179,42.219,42.147,42.145,44.069,44.780,47.639,41.394,47.541,46.256,44.440,43.203,-0.005,-0.052,0.214,0.000,535.048,336.269
82541.852,300.969,0.955,10.095,48.678,0.272,40.167,43.097,45.492,44.750,45.963,42.739,41.184,42.252,43.845,45.510,47.639,41.075,48.064,45.000,44.648,42.526,-0.005,-0.052,0.225,-0.000,535.048,336.269
82541.852,300.970,0.955,10.095,48.678,-0.048,40.383,42.204,44.207,45.795,45.638,41.907,41.612,41.716,43.398,44.780,47.639,41.075,47.750,46.151,44.128,42.864,0.005,-0.052,0.225,0.000,535.048,336.269
82549.915,300.973,0.956,10.094,48.678,0.112,40.275,41.869,44.956,45.482,46.395,41.907,41.933,42.252,43.510,45.197,47.744,41.288,47.855,46.151,45.374,42.413,-0.016,-0.090,0.204,-0.000,535.048,336.269
